SP_Hole_ID,From_Hole_Position,To_Hole_Position,Ag_ppm,Al_pct,As_ppm,Ba_ppm,Bi_ppm,Ca_pct,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Dy_ppm,Er_ppm,Eu_ppm,Fe_pct,Ga_ppm,Gd_ppm,Ge_ppm,Hf_ppm,Hg_ppm,Ho_ppm,In_ppm,K_pct,La_ppm,Lu_ppm,Match,Mg_pct,Mn_ppm,Mo_ppm,Na_pct,Nb_ppm,Nd_ppm,Ni_ppm,P_pct,Pb_ppm,Pr_ppm,Rb_ppm,Re_ppm,S_pct,Sb_ppm,Sc_ppm,Se_ppm,Si_pct,Sm_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Tb_ppm,Te_ppm,Th_ppm,Ti_ppm,Tl_ppm,Tm_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Yb_ppm,Zn_ppm,Zr_ppm
DD17TUR017,140,141.0,0.90460000,7.39406187,48.02460000,959.03520000,3.17560000,1.27639210,0.62320000,64.22700000,8.52940000,47.09425000,11.22000000,366.91120000,3.95060000,3.18200000,0.94740000,2.80168132,12.43400000,4.63780000,2.33500000,3.03760000,1.43120000,0.72460000,0.37560000,3.64315485,31.76680000,0.35160000,0.97418003,1.09382005,146.79640000,13.21780000,2.29376887,14.01020000,38.32480000,37.43360000,0.14731740,423.17080000,5.99620000,174.47020000,0.01400000,1.64736505,45.66660000,5.21550000,6.16280000,32.21464605,5.78980000,2.81360000,218.31520000,0.42540000,0.90000000,0.48040000,19.42480000,1931.58633333,2.93880000,0.27600000,11.59780000,86.58622222,4.72560000,22.23540000,2.38760000,1138.96200000,248.28500000
DD17TUR017,141.0,142.0,0.99811111,7.34419961,43.32633333,585.65322222,1.89933333,2.33956102,0.68888888,65.23933333,11.45277777,49.83475000,11.09222222,543.15600000,4.12988888,2.80900000,0.68755555,6.21373296,11.47100000,4.63533333,2.31566666,2.77377777,2.13377777,0.68411111,0.61966666,2.38265153,31.02877777,0.36244444,0.98475860,2.74051793,311.11044444,10.14144444,1.70821261,11.69477777,39.97155555,20.53477777,0.17413917,249.86955555,6.13788888,161.56344444,0.01400000,1.16768485,20.07877777,5.45925000,2.36022222,27.48621868,5.00511111,2.11377777,195.86255555,0.47222222,0.78033333,0.29255555,15.19411111,1224.49452941,1.14511111,0.37211111,18.87411111,95.73811764,7.15755555,19.46877777,2.03577777,653.70988888,244.20788888
DD17TUR017,142.0,143.0,0.92077777,8.15910852,45.52244444,922.35833333,1.92700000,1.49385972,0.50477777,65.48288888,13.05544444,46.79212500,11.04788888,351.89288888,4.03088888,3.10133333,0.86400000,3.85798704,12.76822222,4.66455555,1.27344444,3.25333333,2.55233333,0.68544444,0.41577777,3.43109922,86.95744444,0.36088888,0.98243050,1.54815892,167.49177777,11.32888888,2.49065077,14.57611111,38.33733333,33.16122222,0.14037071,434.82955555,5.59833333,175.66677777,0.01288888,0.44954712,31.26033333,6.95125000,1.96866666,30.32828300,5.54833333,1.65622222,327.89777777,0.48622222,0.87688888,0.34788888,20.03988888,2719.09929411,1.16500000,0.31288888,15.07577777,103.78494117,10.31111111,21.80344444,2.08844444,550.07888888,250.84177777
DD17TUR017,143.0,144.0,0.89230000,8.44475294,60.19370000,1474.47150000,1.13510000,1.13032130,0.61170000,61.50740000,8.21500000,51.15011111,11.21570000,178.64290000,4.01570000,3.17090000,0.91630000,2.62057633,12.84410000,4.65200000,1.93730000,4.67760000,2.16240000,0.66810000,0.35810000,3.92409236,74.55570000,0.35750000,0.97992405,0.69167433,148.45990000,10.17610000,2.64027683,14.98510000,38.79320000,20.30880000,0.15754685,328.27230000,4.60480000,186.45480000,0.01300000,0.09459996,24.24580000,6.90400000,2.13500000,29.96084086,4.98740000,1.70920000,581.19650000,0.47660000,0.89960000,0.29110000,16.28390000,2465.04778947,0.73260000,0.28490000,15.59700000,88.10284210,8.67670000,23.76110000,2.00510000,841.97580000,240.96880000
DD17TUR017,144.0,145.0,0.92600000,7.30256010,46.16788888,261.63777777,3.23000000,0.79560591,0.44044444,70.05077777,23.45722222,41.99700000,10.80588888,373.68988888,3.71133333,2.55833333,0.66688888,8.53606146,13.30377777,5.44644444,1.88211111,2.85355555,2.74811111,0.79411111,0.48900000,2.79640537,44.51300000,0.38366666,0.97879524,5.61663900,458.10966666,12.20655555,0.37898748,13.05277777,40.01488888,49.01044444,0.20460591,275.79555555,6.96666666,177.61700000,0.01400000,0.45909507,27.98366666,5.14128571,2.44855555,27.00519877,4.95644444,1.75733333,85.41544444,0.78288888,0.68666666,0.24755555,16.35966666,1979.97343750,0.91988888,0.33555555,14.84755555,118.05106250,8.89744444,21.49177777,2.20422222,375.90844444,264.96988888
DD17TUR017,145.0,146.0,1.43600000,6.84223942,44.27970000,500.57710000,2.18920000,1.28950846,0.95190000,67.29020000,27.29580000,51.10055555,9.91320000,537.30360000,3.41390000,2.64930000,0.66660000,8.61480265,10.25630000,6.27030000,1.25590000,2.72570000,3.28420000,0.72290000,0.76350000,2.34435521,63.03910000,0.37030000,0.97418793,3.15739038,478.93700000,15.01440000,0.60733675,10.67230000,39.73610000,42.79260000,0.12151183,175.15200000,6.08250000,103.06010000,0.01210000,1.50471271,30.94820000,3.76955555,2.34070000,25.60924764,5.26080000,2.08740000,179.60750000,0.63660000,0.72190000,0.27240000,11.00060000,1331.33757894,1.02110000,0.32090000,19.34980000,103.07305263,15.59760000,18.79100000,2.13610000,2846.35500000,191.23760000
DD17TUR017,146.0,147.0,1.05466666,6.40115631,43.75366666,176.28644444,2.18833333,0.64393572,1.33677777,70.20788888,36.29344444,42.59737500,8.18866666,2132.89166666,3.55866666,2.48666666,0.55488888,11.91544854,10.26933333,5.89055555,1.20488888,2.43844444,3.03366666,0.80555555,1.18100000,1.48474813,60.99755555,0.36133333,0.98657647,3.93958410,533.28366666,37.80555555,0.23425866,10.00400000,41.31088888,48.07100000,0.12174612,250.85888888,7.29444444,83.74055555,0.01755555,2.89026415,85.54366666,2.93812500,1.86277777,25.41016076,4.99288888,3.29877777,103.58933333,0.47233333,0.68011111,0.23288888,11.50844444,956.24641176,1.31511111,0.26944444,12.20288888,96.43370588,10.03288888,13.21688888,2.05688888,551.78577777,108.48088888
DD17TUR017,147.0,148.0,0.93454545,7.87847954,49.13018181,725.44481818,2.63500000,1.38890644,0.63363636,65.95845454,14.39618181,69.28433333,11.27227272,322.07700000,4.29627272,2.83409090,0.73036363,5.96819910,12.23127272,4.87781818,2.14636363,3.34345454,2.51518181,0.64054545,0.70036363,2.58548207,33.99209090,0.35163636,0.97668621,2.33362951,301.29454545,12.62118181,1.09173260,9.96909090,39.37227272,24.08990909,0.30505826,316.61227272,7.00454545,118.88427272,0.01309090,0.35481530,25.06545454,4.32755555,3.27081818,29.85793344,5.04627272,1.84727272,217.61336363,0.61736363,0.80209090,0.28736363,13.12054545,1487.27555000,0.97963636,0.30536363,12.31218181,88.40180000,8.88772727,19.33518181,2.18290909,934.36890909,162.40881818
DD17TUR017,148.0,149.0,0.89320000,8.30341922,44.44206666,882.79046666,1.64613333,2.31016440,0.58826666,63.64660000,13.71186666,51.40761538,11.11253333,337.21673333,4.11026666,2.92233333,0.84400000,4.02049556,12.05113333,5.26413333,2.24506666,2.38406666,2.82086666,0.79160000,0.48726666,3.38238853,45.01240000,0.38306666,0.97170717,1.26987206,293.96453333,12.20866666,2.03739080,13.09226666,38.47060000,28.70726666,0.18342241,236.48186666,5.60453333,144.12426666,0.01333333,0.35973463,20.09800000,5.72053846,1.92633333,29.71583651,5.17433333,1.96013333,223.45253333,0.58993333,0.85113333,0.25260000,14.56926666,1969.45485714,0.78400000,0.32313333,15.02906666,100.89575000,10.39126666,23.00786666,2.08333333,554.50026666,218.56233333
DD17TUR017,149.0,150.0,1.18980000,7.32403633,54.77290000,525.22300000,1.28620000,1.62779615,1.69740000,66.37620000,29.25090000,109.16588888,9.49440000,458.55090000,3.81800000,2.62050000,0.70610000,9.66075634,10.38670000,7.48220000,1.79050000,2.97620000,2.89120000,0.76580000,0.73400000,2.37208886,243.52390000,0.37230000,0.98238865,3.01045577,646.52320000,9.06130000,1.23905844,10.61390000,38.79740000,43.90640000,0.14644551,226.82430000,5.44790000,145.03150000,0.01390000,0.86788180,24.16320000,10.01688888,3.55160000,24.56866436,5.17190000,2.45050000,317.69840000,0.57280000,0.73480000,0.29400000,12.43520000,3640.22110526,1.10410000,0.31120000,13.09840000,144.25247368,8.86770000,25.22650000,2.13590000,674.18840000,159.80270000
