SP_Hole_ID,From_Hole_Position,To_Hole_Position,Ag_ppm,Al_pct,As_ppm,Au_ppm,Ba_ppm,Bi_ppm,Ca_pct,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Dy_ppm,Er_ppm,Eu_ppm,Fe_pct,Ga_ppm,Gd_ppm,Ge_ppm,Hf_ppm,Hg_ppm,Ho_ppm,In_ppm,K_pct,La_ppm,Lu_ppm,Match,Mg_pct,Mn_ppm,Mo_ppm,Na_pct,Nb_ppm,Nd_ppm,Ni_ppm,P_pct,Pb_ppm,Pr_ppm,Rb_ppm,Re_ppm,S_pct,Sb_ppm,Sc_ppm,Se_ppm,Si_pct,Sm_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Tb_ppm,Te_ppm,Th_ppm,Ti_ppm,Tl_ppm,Tm_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Yb_ppm,Zn_ppm,Zr_ppm
PH19RD7492,378,379.0,0.19875000,5.07721503,1.54825000,0.01050000,287.29625000,0.80200000,2.58363745,0.25600000,533.18650000,20.70875000,42.54766666,33.77550000,839.44150000,5.57250000,2.63750000,2.34975000,8.22458587,-4.05375000,6.25525000,4.79700000,4.61575000,0.24725000,1.07475000,0.24550000,1.15633852,288.64900000,0.39000000,0.97730761,2.80610980,2296.01725000,13.54625000,0.02916313,9.48550000,73.98900000,797.65150000,0.10578143,21.97950000,21.78550000,54.46025000,0.00225000,0.08514966,4.17250000,10.71133333,4.04050000,21.40879176,9.39100000,5.47700000,16.07175000,1.20650000,0.71475000,4.20725000,12.84525000,5239.30325000,0.63200000,224.41450000,41.91725000,-107.20000000,28.28925000,19.16875000,146.10000000,119.82625000,138.94050000
PH19RD7492,379.0,380.0,0.44214285,6.33022821,-1.42242857,0.01271428,223.43900000,0.42371428,1.64592202,0.26671428,395.97014285,17.22457142,60.19766666,33.44442857,328.31900000,5.69571428,2.35914285,2.22200000,7.19788458,7.42757142,6.60285714,4.99057142,4.99457142,0.20414285,1.06085714,0.24514285,1.69868792,331.77771428,0.38928571,0.97805876,2.89637543,1390.85771428,4.09428571,0.02866576,14.12657142,50.71714285,867.30157142,0.10260880,12.69485714,25.53185714,64.89157142,0.00771428,-0.03916603,6.33414285,26.10533333,5.01200000,21.92385555,8.69757142,8.33471428,18.85314285,0.99985714,0.73185714,5.25685714,9.36328571,15442.46000000,0.66528571,242.05400000,26.03928571,323.45757142,28.04242857,18.97357142,144.85657142,177.49457142,208.68800000
PH19RD7492,380.0,381.0,0.69257142,5.33122118,3.28871428,0.01671428,196.45428571,6.50085714,1.88291318,0.26400000,529.69457142,19.42785714,52.55014285,34.36828571,2152.78200000,5.69800000,2.86542857,2.45942857,10.19400818,-6.14371428,6.94028571,4.93014285,3.93828571,0.36057142,1.09014285,0.27914285,0.93934414,365.52614285,0.38985714,0.97143702,3.52979978,1571.31642857,33.33342857,0.02982902,12.82842857,66.94042857,798.70657142,0.07890958,20.39971428,26.72442857,64.33814285,0.00328571,0.07669352,9.68900000,23.81785714,4.40814285,17.53156320,9.32828571,13.61757142,16.70728571,1.15100000,0.96214285,4.78128571,13.57785714,12749.46414285,1.22900000,347.89100000,36.35371428,215.67285714,26.86128571,23.86985714,138.04528571,171.85742857,190.06571428
PH19RD7492,383.0,384.0,0.33300000,5.61088435,1.01350000,0.03000000,522.00350000,0.58950000,1.96874425,0.32850000,956.26900000,19.23400000,98.37200000,34.70800000,1958.31900000,5.61400000,2.45900000,2.52650000,7.33217400,-2.04500000,6.87900000,4.98050000,3.40300000,0.42200000,1.09200000,0.24900000,1.91731045,423.97050000,0.39100000,0.97095948,3.71965660,1592.07550000,6.39300000,0.02921885,13.47250000,79.82300000,799.57500000,0.07030145,18.00850000,26.65000000,92.93500000,0.00500000,-0.02673430,4.16850000,25.59450000,5.52500000,18.97123475,9.55550000,7.40650000,22.28200000,1.11750000,0.74950000,4.18050000,8.93750000,14255.74300000,0.30800000,224.41450000,23.21450000,200.84800000,24.80300000,39.16600000,182.19600000,184.68150000,189.36400000
PH19RD7492,384.0,385.0,0.73600000,3.46576100,-1.74825000,0.01625000,271.28375000,0.61125000,1.63054230,0.26150000,722.28125000,17.04500000,60.97075000,32.70775000,1669.16375000,5.05875000,2.45200000,1.90675000,7.51934685,-0.14600000,6.76800000,5.36350000,3.79275000,0.22450000,1.00850000,0.32425000,1.39395077,254.70525000,0.39075000,0.96671814,1.80476773,1387.22925000,33.33175000,0.04775806,9.66825000,64.71725000,743.16700000,0.07116923,18.84025000,22.28725000,67.36000000,0.00325000,-0.04014617,10.12600000,13.72612500,5.30075000,26.65872280,9.06450000,6.32550000,18.36975000,1.02400000,0.73150000,3.28125000,11.23050000,14212.87375000,0.60975000,223.92000000,22.70500000,209.11575000,27.18850000,15.75850000,136.57475000,150.66875000,136.91175000
PH19RD7492,385.0,386.0,2.12450000,5.35833907,-2.94550000,0.00900000,328.87950000,0.58025000,1.67148182,0.27275000,688.08675000,16.39225000,80.01825000,30.84200000,2371.43075000,5.52350000,2.36225000,2.40400000,8.29779432,8.59050000,6.77400000,5.01525000,3.27350000,0.05250000,1.07325000,0.33600000,1.31972960,310.58600000,0.38600000,0.95650163,3.02467395,1519.37450000,33.56975000,0.03127892,9.57200000,65.75375000,798.60550000,0.05934262,19.27525000,20.45425000,58.56175000,0.00275000,-0.00906605,12.39925000,19.74525000,4.46775000,13.52693460,8.04325000,20.47525000,20.43850000,1.17100000,0.75225000,5.20200000,9.64525000,14455.01625000,1.36925000,224.41450000,36.03675000,336.33875000,20.84750000,21.00575000,136.49125000,211.67475000,134.31300000
PH19RD7492,386.0,387.0,0.33966666,5.78720143,9.55300000,0.23700000,362.68266666,1.80866666,1.41509650,0.30900000,807.42566666,20.59666666,54.94700000,34.53833333,2071.20533333,5.66700000,2.97533333,2.50300000,9.10799663,1.52433333,6.80166666,5.25600000,2.88166666,0.28233333,1.08966666,0.23733333,1.80220120,237.00633333,0.39033333,0.96778926,4.78351780,1695.15333333,8.74566666,0.02880333,15.55533333,59.23766666,797.81066666,0.05922290,20.15033333,26.65000000,104.75133333,0.00600000,0.05731460,4.19033333,28.23666666,5.75966666,16.18401173,9.26400000,16.52966666,18.57633333,1.14633333,1.00500000,4.19133333,12.56200000,16604.60266666,1.12533333,347.89100000,30.93033333,348.05666666,28.06233333,28.96233333,168.62333333,178.73033333,203.05400000
PH19RD7492,388.0,389.0,0.32450000,1.30674350,10.41650000,0.05600000,294.25550000,1.52400000,11.39055360,0.25850000,309.11800000,8.84750000,34.44100000,34.83600000,2619.50100000,3.86050000,1.59350000,2.58100000,3.31892565,7.21750000,6.87400000,5.06200000,3.08850000,0.65950000,0.94750000,0.33400000,0.38211880,133.01400000,0.39100000,0.96041778,4.26740630,2902.12000000,19.45600000,0.02893670,14.00450000,49.33600000,798.56950000,0.17780265,21.57350000,12.45050000,2.87450000,0.00200000,0.45708300,4.17200000,17.11650000,3.96150000,14.03844540,8.57750000,4.61400000,17.87950000,1.53050000,0.44400000,4.18600000,7.79450000,1758.87800000,0.50500000,99.36500000,29.71400000,-123.61000000,26.84550000,11.14450000,383.97500000,30.23550000,25.22650000
PH19RD7492,390.0,391.0,0.15680000,1.34074412,14.47520000,0.03060000,136.12220000,1.39500000,7.45390744,0.25960000,338.99580000,27.01120000,45.46020000,31.40180000,3271.33840000,5.43820000,2.39780000,2.34480000,14.13401184,-29.93080000,7.06480000,4.66540000,3.54300000,0.62460000,1.08140000,0.39220000,-0.26106188,437.52720000,0.38980000,0.96628322,2.69895678,1516.18380000,15.25980000,0.02894888,10.48240000,56.84760000,742.35440000,0.10848638,19.53280000,15.13400000,34.48160000,0.00260000,0.34182382,13.62160000,12.20280000,5.63140000,16.67908700,8.99560000,12.38900000,19.95760000,1.62220000,0.75960000,4.19160000,17.01700000,1615.38100000,1.67840000,250.73860000,31.41400000,-114.64280000,26.06660000,8.24840000,277.25280000,-5.50160000,38.39920000
PH19RD7492,392.0,393.0,5.30400000,5.69990570,-4.44100000,0.00700000,61.36900000,0.29400000,4.63798990,0.26700000,86.31800000,5.06900000,70.64600000,31.15700000,880.26000000,2.34200000,0.84100000,2.50900000,1.57368100,24.55600000,7.24100000,4.76500000,5.17600000,0.10300000,1.03900000,0.41600000,1.33828080,215.17700000,0.37300000,0.93344861,1.96577560,1419.37600000,18.40000000,0.23639410,0.20600000,28.49200000,797.17500000,0.09042310,19.35000000,8.75500000,-5.52200000,0.00200000,-0.02761140,13.36300000,3.35400000,3.63700000,11.66461810,9.28600000,42.02500000,13.75500000,1.31000000,0.31000000,4.25700000,11.18300000,-697.54500000,0.25800000,108.70500000,39.66100000,185.77400000,24.57600000,-11.37500000,189.39300000,287.34800000,30.10200000
